n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
383;283;5;574;131;134;72;48;57;25;180;56;196;19;72
384;266;5;515;131;134;68;47;53;24;161;52;195;18;71
385;276;5;511;130;129;72;40;51;24;170;55;190;18;71
386;205;5;421;126;129;67;41;50;23;159;49;190;18;68
387;421;3;431;130;133;67;42;49;24;160;50;182;18;68
388;46;3;461;126;128;64;45;51;24;156;48;180;19;69
389;5;3;466;126;132;66;40;53;25;168;52;191;18;68
390;34;3;434;127;132;66;41;53;23;166;49;187;18;68
391;271;5;541;135;132;72;43;53;25;173;52;194;19;71
392;312;5;480;128;130;68;44;51;24;164;52;186;18;68
393;133;3;455;126;128;67;43;51;25;163;52;188;18;68
394;657;5;453;136;130;70;40;54;25;160;52;186;18;68
395;39;3;450;129;133;66;41;50;24;164;51;182;19;67
396;1;3;417;125;123;61;41;50;23;153;48;178;18;66
397;432;3;466;122;127;66;48;52;25;163;53;205;18;68
398;81;3;520;125;127;72;47;54;27;169;53;202;19;71
399;48;3;508;125;132;66;42;53;26;163;51;189;19;70
400;7;3;568;129;133;69;47;55;26;170;53;200;19;72
401;215;5;628;131;132;71;45;57;28;184;58;204;20;74
402;250;5;576;128;131;72;43;57;26;174;55;199;19;72
403;298;5;474;125;125;67;48;53;24;161;51;194;18;67
404;279;5;620;125;124;70;49;54;27;163;49;210;21;73
405;27;5;558;126;137;69;50;56;26;175;51;201;19;72
406;94;3;472;126;132;66;48;50;25;156;47;202;18;68
407;282;5;491;126;125;69;39;51;25;160;51;190;18;68
408;204;5;450;123;123;67;38;51;24;156;50;198;18;68
409;232;5;491;126;125;66;40;51;25;167;46;183;18;69
410;90;3;478;125;121;65;46;49;24;156;45;190;18;67
411;253;5;605;131;129;74;50;55;27;182;53;207;20;73
412;226;5;573;131;131;70;48;56;26;170;54;201;19;72
413;98;3;472;123;127;68;43;48;24;163;52;193;18;68
414;280;5;596;126;128;74;49;58;25;165;53;210;19;71
415;109;3;471;122;122;64;47;53;24;165;48;186;18;69
416;49;3;541;125;127;66;50;55;25;170;50;198;19;71
417;274;5;550;126;125;71;48;53;26;171;51;193;19;71
418;87;3;573;125;130;71;46;50;25;163;52;201;19;72
419;285;5;505;125;125;69;45;54;24;179;53;201;18;70
420;213;5;511;119;120;67;45;50;25;163;51;183;18;70
421;352;5;500;120;120;68;44;58;25;167;52;191;18;70
422;294;5;670;130;128;76;51;62;27;192;55;203;20;63
423;296;5;523;124;122;68;47;53;25;171;47;198;19;71
424;167;3;495;123;123;66;47;53;24;163;49;191;18;68
425;270;5;595;130;129;71;48;53;26;176;54;198;19;72
426;291;5;570;125;127;74;50;59;25;172;50;200;19;71
427;156;3;413;118;118;65;46;48;24;157;45;186;18;68
428;41;3;527;128;130;71;42;53;25;168;51;193;19;71
429;220;5;572;130;133;75;50;55;26;169;50;204;19;72
430;419;3;552;123;124;70;48;55;25;161;51;200;19;71
431;1914;5;665;127;127;75;49;55;28;169;55;203;21;74
432;1912;3;420;120;125;63;46;46;24;149;48;198;18;68
433;347;5;420;123;123;66;47;50;24;162;50;189;18;68
434;24;3;382;124;121;64;40;42;24;147;46;183;17;66
435;32;3;550;129;128;71;47;50;26;172;50;197;19;70
436;158;5;548;134;132;73;44;52;26;172;54;193;19;71
437;9;3;546;127;131;70;43;53;25;169;52;190;19;71
438;394;5;652;129;134;77;51;58;27;170;55;238;20;73
439;269;5;597;136;136;75;48;56;26;176;57;204;19;72
440;293;5;552;127;128;74;50;55;25;173;52;217;19;71
441;295;5;615;128;134;68;46;50;27;165;44;196;20;73
442;209;5;522;123;126;70;46;62;26;167;51;194;18;71
443;278;5;540;126;129;73;40;55;25;171;52;200;19;72
444;127;3;421;118;121;65;45;47;24;157;46;178;18;68
445;231;5;528;123;125;71;48;51;25;165;50;201;19;72
446;202;5;517;130;126;74;42;52;25;165;50;192;19;72
447;243;5;480;127;125;69;42;54;24;163;51;190;18;67
448;407;5;470;128;126;68;43;50;24;160;49;184;18;68
449;290;5;520;132;131;71;48;53;25;178;51;202;19;71
450;374;5;490;120;117;70;48;50;24;165;52;193;18;70
451;134;3;436;122;121;65;40;47;24;156;46;180;18;68
452;203;5;600;123;129;73;48;58;27;172;52;195;20;74
453;216;5;511;127;125;69;44;52;25;160;48;180;19;72
454;29;3;449;127;121;61;40;50;24;157;50;181;18;68
455;123;3;360;124;126;65;37;47;24;141;47;171;17;65
456;147;5;524;128;130;72;40;54;25;162;51;193;19;70
457;45;3;514;129;128;70;43;56;25;167;54;185;19;70
458;265;5;531;125;128;70;44;54;24;159;50;192;18;71
459;3;3;450;128;134;68;44;51;24;164;48;180;18;68
460;284;5;570;120;128;72;48;52;26;163;48;197;19;71
461;246;5;510;121;130;72;46;45;25;174;55;200;19;71
462;28;3;511;125;130;69;41;50;25;167;51;182;18;70
463;100;3;500;117;119;72;41;50;24;163;50;187;18;70
464;38;3;455;121;118;66;44;50;24;156;46;179;18;68
465;пнд-01701;5;550;130;130;74;42;46;25;154;51;202;25;117
466;пнд-01105;5;520;122;129;68;44;49;21;152;50;180;25;109
467;пнд-01702;5;520;130;140;80;48;57;32;165;52;200;25;119
468;пнд-01704;5;550;131;134;65;45;48;24;158;52;200;25;110
